id,title,description,date,venue,ticket_price,category,capacity_max,image_url,status,organizer_id,created_at
1,Buea Championship Finals #1368,"Feel the adrenaline at the championship finals happening in Buea!

Animal pressure drop record. With include various wait factor energy. Reason laugh site education star.",2025-12-25 17:31:51.971799,"Baldwin Group Hall, Buea",4700.0,Sport,398,https://images.unsplash.com/photo-1517649763962-0c623066013b?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-15 06:16:58.705758
2,"Developers Meetup at Simmons, Nelson and Weaver Hall, Bertoua #5155","An informal gathering of developers, coders, and techies.

Research tough best open none shake research. Mouth method beautiful attention deal article. Lead statement bad include four. Meeting traditional top admit. Ready agent country south actually today. Nation news former civil religious they. Political since explain form.",2025-10-14 18:28:14.149903,"Simmons, Nelson and Weaver Hall, Bertoua",10500.0,Tech,185,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-04 22:35:38.471735
3,Buea Orchestra Gala #8921,"An elegant night with classical performances in Buea.

Manage resource foot result for senior story. Other candidate daughter tonight effect party. Whether whatever what pressure law thing doctor. Occur military bring local oil yet edge. Ball itself perform second. Attack ground pass drug number conference attack body. Indeed range test key listen kind. Smile gun approach product figure important value. Serve blue according between physical imagine reduce.",2025-12-24 23:54:19.682547,"Estrada Group Hall, Buea",6100.0,Music,131,https://images.unsplash.com/photo-1506157786151-b8491531f063?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-24 15:19:51.647653
4,Douala Tech Summit 2025 #3902,"A unique opportunity to connect with innovators and developers in Douala.

Someone lose political expert. Poor parent Democrat suffer couple.",2025-11-21 06:01:28.009648,"Bush and Sons Hall, Douala",2700.0,Tech,242,https://images.unsplash.com/photo-1492724441997-5dc865305da7?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-25 03:51:38.873603
5,Photography Showcase 2025 #9498,"A visual feast of photography talent in Bafoussam.

She through happy recently keep camera. Minute indeed bar walk discuss various free. View well me guess federal consumer treat.",2025-12-12 10:56:18.367747,"Jenkins, Griffith and May Hall, Bafoussam",18100.0,Art,435,https://images.unsplash.com/photo-1519389950473-47ba0277781c?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-10 05:42:56.617173
6,Cycling Tour of Douala #8261,"A thrilling cycling race across the city streets.

Adult stage stuff mention current shoulder. Congress business establish.",2025-12-24 16:19:41.004343,"Hogan-Jones Hall, Douala",6900.0,Sport,92,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-25 14:58:28.329982
7,Startup Demo Day 2025 #2816,"See the hottest new startups showcase their products in Maroua.

Economic threat nearly almost too individual. Almost itself sure computer.",2025-10-17 03:53:10.707736,"Chen PLC Hall, Maroua",7900.0,Tech,103,https://images.unsplash.com/photo-1519389950473-47ba0277781c?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-24 13:03:23.602102
8,Bamenda Art Festival 2025 #7178,"Celebrate art and culture in Bamenda's biggest art festival of 2025.

Sit alone last strategy. Difference analysis take style individual. And vote employee field region finally.",2025-10-09 01:24:48.129529,"Ellis, Webster and Martin Hall, Bamenda",1100.0,Art,338,https://images.unsplash.com/photo-1524995997946-a1c2e315a42f?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-11 21:16:23.909816
9,Photography Showcase 2025 #4579,"A visual feast of photography talent in Yaoundé.

Media cover possible school three. Type organization a interesting institution. Line account available.",2025-11-06 07:20:12.153306,"Coleman LLC Hall, Yaoundé",15300.0,Art,393,https://images.unsplash.com/photo-1519389950473-47ba0277781c?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-12 08:16:45.476258
10,Photography Showcase 2025 #9495,"A visual feast of photography talent in Garoua.

Or total family color. Speech score management over institution friend lot. School best already pull page field. Learn huge describe strategy economy cell blue.",2025-12-09 18:42:40.204124,"Mason-Stein Hall, Garoua",11100.0,Art,436,https://images.unsplash.com/photo-1519389950473-47ba0277781c?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-23 02:40:56.290744
11,Corporate Training Workshop #5699,"A hands-on workshop designed for professionals in Buea.

Environmental new within none type. Bar risk glass among set some difficult. Section year most field color occur table gun. Lot national according herself debate successful nothing. Miss two never event. Least race experience including quite physical bring. Address travel group fight consumer. Year build ground system set. Run protect enter laugh ever serve ok put.",2025-11-14 19:32:43.908369,"Cox-Rios Hall, Buea",0.0,Business,251,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-07 03:55:50.197516
12,Future of AI Conference – Buea #2765,"Discover how artificial intelligence is shaping industries in Buea.

Position large ready box six. Notice on prepare every reason. Class when night here.",2025-11-25 15:37:20.097563,"Lewis Ltd Hall, Buea",15400.0,Tech,495,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-27 16:32:36.310298
13,Future of AI Conference – Bertoua #7899,"Discover how artificial intelligence is shaping industries in Bertoua.

Many hour standard court month. Difficult customer quite special born. Yeah out wear rate local response program.",2025-11-08 14:16:11.773093,"Davis-Henry Hall, Bertoua",2100.0,Tech,424,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-06 02:18:25.386159
14,Street Art Celebration #7402,"Discover vibrant street art performances in Buea.

Line outside stand. Choice hair size study him. Anyone possible use ball eye film according. Second car under do. His new form down identify week public. Least office artist stay.",2025-11-16 13:18:20.485801,"Hill-Barnes Hall, Buea",0.0,Art,203,https://images.unsplash.com/photo-1473187983305-f615310e7daa?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-14 20:47:01.914469
15,Ngaoundere Entrepreneurs Forum 2025 #1975,"Connect with visionaries, leaders, and entrepreneurs in Ngaoundere.

Explain star our lose. Two catch drop lot some difficult fine. Into develop mouth. Surface sound age. Film even all wonder western. Others TV fine never international population. Set my course eye season window a first. About result task everybody.",2025-11-24 22:15:54.095587,"Martin, Stevenson and Martin Hall, Ngaoundere",8300.0,Business,250,https://images.unsplash.com/photo-1551836022-d5d88e9218df?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-14 13:01:28.633067
16,Business Networking Cocktail #2592,"An evening of networking and opportunities in Buea.

Under notice kid notice. Name listen accept question lay. Safe daughter day wrong part himself quickly. Wonder determine speech. Discuss else thing discussion if reach mean. Full special school seven. Itself often example capital officer music meet then.",2025-12-18 21:19:01.152623,"Morales, Anderson and Morrow Hall, Buea",18500.0,Business,436,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-22 06:12:26.622416
17,Corporate Training Workshop #4081,"A hands-on workshop designed for professionals in Douala.

Side lot deep myself half. Ask notice thought seat and member film. Figure pick personal even matter avoid also. Tree soon food edge with chair. Manager might school office successful. Probably performance identify voice away society.",2025-11-14 19:12:41.493078,"Davis Ltd Hall, Douala",10000.0,Business,122,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-22 00:10:19.024959
18,Future of AI Conference – Yaoundé #1146,"Discover how artificial intelligence is shaping industries in Yaoundé.

Could many approach by product event city. Wonder question behind leader. Number at specific. Item actually laugh skin rich participant police.",2025-10-06 17:31:39.289349,"Smith, Burch and Harris Hall, Yaoundé",11800.0,Tech,233,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-01 22:24:56.581895
